"PublisherName"		"AppName"
01 Systems w.l.l.		SIGCAP
10Tec		iGrid.NET Demo
123 Copy DVD		123 Copy DVD
180Solutions Inc.		n-CASE
1Soft Corp.		Above & Beyond
1Vision Software LLC.		1Disk
1mage Software Inc.		WinClient
2000TOOLS Group Inc.		DateSpy
2000TOOLS Group Inc.		Microangelo
21-6 Productions		PE Builder
21-6 Productions		TubeTwist
2AM Inc.		2AM Creation
2B System		Ra2Wav
2B System		X-FileGet
2BrightSparks Pte Ltd		SyncBack
2BrightSparks Pte Ltd		SyncBackSE
2Market Networks		2Market Site Express
2Wire Inc.		2Wire
2ce Inc.		CubicEye
2nd Story Software Inc.		TaxACT
321 Studios Inc.		DVD X Copy Platinum
3Com		3Com Modem Manager
3Com		3Com NBX 100
3Com		3Com NBX DCA
3Com		NETStarter
3Com		Total Control Manager
3Com		WINport
3D Realms Entertainment (See Apogee)		None
3DNA Corp.		3DNA
3Dconnexion		3Dconnexion 3DxSoftware
3Dconnexion		3Dconnexion 3DxWare
3M		Post-it Software Notes
3M		Post-it Software Notes Lite
3M		Realtime Data Manager
3M Touch Systems		MicroTouch TouchWare
3aLab		iRadio
3am Laboratories PL		LogMeIn
3am Laboratories PL		Poke
3am Laboratories PL		RemotelyAnywhere
3gpConvert.com		None
3ivx Technologies Pty. LTD		3ivx Config
3rd Eye Solutions		Baseball
3rd Eye Solutions		Fieldgoal
3rd Eye Solutions		Hoops
3rd Eye Solutions		Parkalot2
3rd Eye Solutions		RuralRacer
3rd Eye Solutions		Sheepish
3rd Eye Solutions		TennisAce
3rd Eye Solutions		Warrior
4D		Tutor Trac
4Developers LLC		ActiveX Manager
7Byte Computers		Hot CPU Tester Pro
7th Level Inc. (SEE Learn2.com)		Media Player 7
7th Street.com Inc. (See Learn2.com)		TuneLand
98lite.NET		IEradicator
99V		Sound It Out Land
@Last Software		SketchUp
@ractive Software		ZipALot
@stake Inc.		LC3
@stake Inc.		LC5
A-1 Technology Inc.		Show Me Live
A.D.A.M. Software		A.D.A.M. Interactive Anatomy
A.G. Internet Development Inc.		GuideBuilder
A.G. Internet Development Inc.		Selfseek!
A.G. Internet Development Inc.		Webspector
A.G. Internet Development Inc.		Webspector Client
A.I.SOFT INC.		Yonde!! Koko
A.N.D. Technologies		Pcounter
A2ZWare		A2Z Gradebook
A2ZWare		A2Z Gradebook for Windows 95
A2ZWare		A2Z Hangman
A6Soft.com Company Inc.		Apis DVD Ripper
AASHTO		BARS
ABBYY		FineReader
ABBYY		Lexmark X73
ABBYY		Lingvo 5.0
ABC Systems and Development Ltd.		ABC Lan Licenser
ABC Systems and Development Ltd.		ABC Lan Licenser Client
ABN AMRO Software		None
AC Analytical Controls Inc.		None
ACCPAC International Inc.		Contact Master Professional
ACCPAC International Inc.		Simply Accounting
ACD Systems Ltd.		ACDNotes Pro
ACD Systems Ltd.		ACDSee
ACD Systems Ltd.		ACDSee Standard
ACD Systems Ltd.		FotoAngelo
ACD Systems Ltd.		FotoCanvas
ACD Systems Ltd.		FotoCanvas Lite
ACD Systems Ltd.		PicaView16
ACD Systems Ltd.		PicaView32
ACD Systems Ltd.		PicaViewNT
ACE Contact Manager (see GoAce.com)		None
ACI SA		4D Engine
ACI SA		4th Dimension
ADAPT Technologies Inc.		ADAPT-PT
ADP Automatic Data Processing Inc.		None
ADP Incorporated		eTIME
ADPAC Corporation		None
ADscience Ltd.		ADfilter
AEC Software Inc.		None
AIC SOFTWARE Inc.		None
AIPTEK Inc.		AIPTEK PenCam Manager
AISN Software (SEE SYSTAT Software Inc.)		None
AITech International		None
AJ Software (see Capitex Konsult AB)		None
ALFA Technologies		CDex
ALK Associates Inc.		PC*MILER
ALK Technologies Inc.		PC Miler Worldwide
AMBIT Microsystems Corporation.		Silence Install Control Center
AMEC		WorkSpace Assistant
AMF Software		AMF Daily Planner and PIM
AMI (American Megatrends Inc.)		AmiDiag
AND International Products B.V.		WinRIS
ANGOSS Software Corporation		SmartWare II
ANIXIS		Unused Account Ferret
ANSYS Inc.		ANSYS
ANSYS Inc.		ANSYS/Multiphysics
APL2000 Inc.		APL Plus for Windows
APL2000 Inc.		APL+Win
ARC Media Inc.		Cars of the Future: Beyond 1995
ARDI		Executor
AREVA T&D		MiCOM S1
ARTstor		Off-line Image Viewer (OIV)
ASH WARE Inc.		TPU Simulator
ASI Quality Systems Ltd.		None
ASUS		PC Probe II
ASUSTek Computer Inc.		ASUS System Monitoring Agent
ASUSTek Computer Inc.		ASUS Update
AT&T		AT&T Global Network Dialer
AT&T		Connection Manager
AT&T		Global Network Client
AT&T		Graphviz
AT&T		VNC
AT&T Laboratories Cambridge		VNC
ATI Technologies Inc.		ATI Adapter Information Utility
ATI Technologies Inc.		ATI Catalyst Control Center
ATI Technologies Inc.		ATI Control Panel
ATI Technologies Inc.		ATI FGL Rseries Util Service
ATI Technologies Inc.		ATI Graphics Accelerators
ATI Technologies Inc.		ATI HYDRAVISION
ATI Technologies Inc.		ATI HydraVision
ATI Technologies Inc.		ATI Multimedia Center
ATI Technologies Inc.		ATI Multimedia Player
ATI Technologies Inc.		ATI Video Drivers for Windows 3.1
ATI Technologies Inc.		Catalyst Control Centre
ATI Technologies Inc.		FlexDesk
AVAYA Communication		Avaya CMS Supervisor
AVAYA Communication		Avaya IP Softphone
AVAYA Communication		Avaya Modular Messaging
AVAYA Communication		Avaya Site Administration
AVAYA Communication		Avaya Voice Player
AVAYA Communication		Business Call Center
AVAYA Communication		Enterprise VMON
AVAYA Communication		IP Office
AVAYA Communication		MERLIN Messaging System Administration
AVM		Fritz
AVM		Paltalk
AVPSoft		AVPSOFT Save2FTP
AVision Information Management Systems		None
AWS Convergence Technologies Inc.		WeatherBug
AXENT Technologies Inc.		Enterprise Resource Manager
AXENT Technologies Inc.		Intruder Alert
AXIS Communications AB		AXIS IP JumpStarter
AXIS Communications AB		NetPilot
AXS-One Inc.		FILEVIEW
AY Software Corporation		AY Mail
Aaron Writes Software		ScrnSaveSwitch/Plus!
Abacast Inc.		Abacast Client
Abacast Inc.		Abaclient
Abacist Software Company		None
Abacre Software		Advanced Find and Replace
Abacus		Becker Tools
Abacus		Becker Tools for Windows
Abacus		No Mouse
Abacus		Tempest
Abacus		Virus Secure for Windows
Abacus Software Group		None
Abbott Systems Inc.		Abbott Powerstrip
Abbott Systems Inc.		Calc+
Abexo		Abexo Free Registry Cleaner
Ability Plus Software Ltd.		Ability Office
Abitom Software		Color Wheel Expert
AbleSoft Inc.		Library Of the Future
Above Software Inc.		Golden Retriever for Windows
Abraxas Software		PCLEX Toolkit
Abraxas Software		PCYACC Toolkit
AbyssMedia.com		i-Sound
AccSoft Shareware		Account Pro
AccSoft Shareware		Account Pro 95
Accel Technologies Inc.		P-CAD PCB
Access Softek		Dragnet
Access Softek		Ghost
Access Softek		Prompt
AccessData Corporation		AccessData Password Recovery Toolkit
Accolade Inc.		Hardball III
Accolade Inc.		Jack Nicklaus Tour Collection
Accolade Inc.		Unnecessary Roughness '95
Accoona Corp.		Accoona Search Assistant
Accu-Sort Systems Inc.		AdaptaScan OLP
AccuSoft Corporation		ImageGear
Accurate Technologies		None
Ace Software Company		None
Ace Software Corporation (see Atlantic Coast)		None
Acer Laboratories Inc.		ALi Integrated Driver
