id,langname,active
1,ASL,True
2,ARABIC,True
3,BAJUNI,True
4,BENGALI,True
5,BOSNIAN,True
6,BURMESE,True
7,DZONGKHA,True
8,FRENCH,True
9,GERMAN,True
10,HINDI,True
11,ITALIAN,True
12,KAREN,True
13,KINYAMULENGE,True
14,KINYARWANDA,True
15,KIRUNDI,True
16,KRAHN,True
17,KUNAMA,True
18,KURDISH,True
19,LINGALA,True
20,NEPALI,True
21,NUER,True
22,OROMO,True
23,RUSSIAN,True
24,SOMALI,True
25,SPANISH,True
26,SWAHILI,True
27,TIGRINYA,True
28,TURKISH,True
29,TURKMAN,True
30,UKRAINIAN,True
31,AMHARIC,True
32,KAYAH,True
33,LAOTIAN,True
34,MAIMAI,True
35,VIETNAMESE,True
36,OTHER,True
