statusid,officeid,schedstatus,schedgroup,isdefault,hold,processbilling,processpay,credit,interpOption,bgcolor,fgcolor,active
5,2,UNFILLED,UNFILLED,True,True,False,False,False,False,#CC0000,#FFFFFF,True
6,2,CREDIT,OTHER,False,True,False,True,True,False,#000099,#FFFFFF,False
7,2,PENDING,PENDING,False,True,False,False,False,False,#FFCC00,#000000,True
9,2,CONFIRMED,PENDING,False,True,False,False,False,True,#008F00,#FFFFFF,True
10,2,CANCEL MORE,CANCEL_NC,False,False,False,False,False,False,#663300,#FFFFFF,True
11,2,CANCEL LESS,CANCEL_BILL,False,False,True,True,False,True,#000099,#FFFFFF,True
12,2,CANCELED UPON ARRIVAL,CANCEL_BILL,False,False,True,True,False,False,#000099,#FFFFFF,True
13,2,COMPLETED,COMPLETED,False,False,True,True,False,True,#000099,#FFFFFF,True
15,2,CANCEL WEATHER,CANCEL_NC,False,False,False,False,False,False,#663300,#FFFFFF,True
16,2,CANCEL NO CHARGE,CANCEL_NC,False,False,False,False,False,False,#663300,#FFFFFF,True
18,2,TERP NO SHOW,CANCEL_NC,False,False,False,False,True,False,#663300,#FFFFFF,True
19,2,UNABLE,UNFILLED,False,False,False,False,False,False,#663300,#FFFFFF,True
20,2,CANCELED UPON CONFIRMATION,CANCEL_NC,False,False,False,False,False,False,#663300,#FFFFFF,True
22,2,FILLED,PENDING,False,True,False,False,False,False,#FFCC00,#000000,True
25,2,TERP CANCEL,UNFILLED,False,False,False,False,False,False,#663300,#FFFFFF,True
26,2,AGENCY HOLD,PENDING,False,True,False,False,False,False,#FFCC00,#000000,True
27,2,TERP HOLD,PENDING,False,True,False,False,False,False,#FFCC00,#000000,True
29,2,UNFILLED/CM,UNFILLED,False,True,False,False,False,False,#990099,#FFFFFF,True
30,2,UNABLE/GM,UNFILLED,False,False,False,False,False,False,#663300,#FFFFFF,True
31,2,UNABLE/ER,UNFILLED,False,False,False,False,False,False,#663300,#FFFFFF,True
68,4,SERVICE,PENDING,True,True,False,False,False,False,#FFCC00,#000000,False
69,4,CREDIT,OTHER,False,True,False,False,False,False,#000099,#FFFFFF,False
70,4,PENDING,PENDING,False,True,False,False,False,False,#CC0000,#FFFFFF,True
71,4,UNAVAILABLE,PENDING,False,True,False,False,False,False,#CC0000,#FFFFFF,False
72,4,CONFIRMED,PENDING,False,True,False,False,False,True,#008F00,#FFFFFF,True
73,4,CANCEL MORE,CANCEL_NC,False,False,False,False,False,False,#663300,#FFFFFF,True
74,4,CANCEL LESS,CANCEL_BILL,False,False,True,True,False,False,#000099,#FFFFFF,True
75,4,NO SHOW,CANCEL_BILL,False,False,True,True,False,True,#000099,#FFFFFF,True
76,4,COMPLETED,COMPLETED,False,False,True,True,False,True,#000099,#FFFFFF,True
77,4,OBSERVATION,COMPLETED,False,True,False,False,False,False,#000099,#FFFFFF,True
78,4,CANCEL WEATHER,CANCEL_NC,False,False,False,False,False,False,#663300,#FFFFFF,True
79,4,CANCEL NO CHARGE,CANCEL_NC,False,False,False,False,False,False,#663300,#FFFFFF,True
80,4,UNABLE,UNFILLED,False,False,False,False,False,False,#663300,#FFFFFF,True
81,4,TERP NO SHOW,CANCEL_NC,False,False,False,False,False,False,#663300,#FFFFFF,True
82,4,NO SERVICE,UNFILLED,False,False,False,False,False,False,#663300,#FFFFFF,False
83,4,CANCELED UPON ARRIVAL,CANCEL_BILL,False,False,True,True,False,True,#000099,#FFFFFF,True
86,9,FILLED,PENDING,False,True,False,False,False,False,#FFE500,#000000,True
88,9,UNFILLED,UNFILLED,True,True,False,False,False,False,#CC0066,#FFFFFF,True
89,9,UNABLE,UNFILLED,False,False,False,False,False,False,#663300,#FFFFFF,True
90,9,CONFIRMED,PENDING,False,True,False,False,False,False,#008F00,#FFFFFF,True
91,9,CANCEL MORE,CANCEL_NC,False,False,False,False,False,False,#663300,#FFFFFF,True
92,9,CANCEL LESS,CANCEL_BILL,False,False,True,True,False,False,#000099,#FFFFFF,True
93,9,CANCELED UPON ARRIVAL,CANCEL_BILL,False,False,True,True,False,False,#000099,#FFFFFF,True
94,9,COMPLETED,COMPLETED,False,False,True,True,False,False,#000099,#FFFFFF,True
95,9,ADJ-NO BILL,CANCEL_NC,False,False,False,False,False,False,#663300,#FFFFFF,False
96,9,CANCEL LESS-PB,CANCEL_NC,False,True,False,False,False,False,#663300,#FFFFFF,True
97,9,NS PREBILL,CANCEL_NC,False,True,False,False,False,False,#663300,#FFFFFF,False
98,10,SERVICE,PENDING,False,True,False,False,False,False,#FFCC00,#000000,True
99,10,CREDIT,OTHER,False,False,False,False,True,False,#000099,#FFFFFF,True
100,10,PENDING,PENDING,False,True,False,False,False,False,#FFCC00,#000000,True
101,10,UNAVAILABLE,UNFILLED,False,False,False,False,False,False,#663300,#FFFFFF,True
102,10,CONFIRMED,PENDING,False,True,False,False,False,True,#008F00,#FFFFFF,True
103,10,CANCEL MORE,CANCEL_NC,False,False,False,False,False,False,#663300,#FFFFFF,True
104,10,CANCEL LESS,CANCEL_BILL,False,False,True,True,False,False,#000099,#FFFFFF,True
105,10,NO SHOW,CANCEL_BILL,False,False,True,True,False,True,#000099,#FFFFFF,True
106,10,COMPLETED,COMPLETED,False,True,True,True,False,True,#000099,#FFFFFF,True
107,10,OBSERVATIONS,COMPLETED,False,True,False,False,False,False,#000099,#FFFFFF,True
108,10,CANCEL WEATHER,CANCEL_BILL,False,False,False,True,False,False,#663300,#FFFFFF,True
