280598 function calls (279471 primitive calls) in 2.500 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.032    0.032    2.554    2.554 utils.py:1(<module>)
        1    0.018    0.018    2.306    2.306 utils.py:26(main_proc)
     5513    2.150    0.000    2.278    0.000 utils.py:99(store_in_bucket)
        6    0.004    0.001    0.217    0.036 __init__.py:19(<module>)
        1    0.019    0.019    0.212    0.212 _utils.py:1(<module>)
        1    0.019    0.019    0.187    0.187 lists.py:1(<module>)
        1    0.014    0.014    0.091    0.091 CooperativeClass.py:5(<module>)
        1    0.035    0.035    0.077    0.077 __init__.py:24(<module>)
        1    0.027    0.027    0.077    0.077 inspect.py:25(<module>)
        1    0.013    0.013    0.042    0.042 threading.py:1(<module>)
    95529    0.034    0.000    0.035    0.000 {method 'join' of 'str' objects}
        1    0.015    0.015    0.034    0.034 tokenize.py:23(<module>)
        1    0.028    0.028    0.028    0.028 collections.py:1(<module>)
       17    0.000    0.000    0.023    0.001 re.py:188(compile)
       17    0.000    0.000    0.023    0.001 re.py:226(_compile)
       17    0.000    0.000    0.023    0.001 sre_compile.py:496(compile)
        7    0.000    0.000    0.018    0.003 {map}
    42287    0.015    0.000    0.015    0.000 {method 'has_key' of 'dict' objects}
        1    0.013    0.013    0.013    0.013 dis.py:1(<module>)
       17    0.000    0.000    0.013    0.001 sre_compile.py:481(_code)
   363/17    0.003    0.000    0.011    0.001 sre_compile.py:33(_compile)
       17    0.000    0.000    0.010    0.001 sre_parse.py:676(parse)
   102/17    0.001    0.000    0.010    0.001 sre_parse.py:302(_parse_sub)
   164/19    0.003    0.000    0.010    0.001 sre_parse.py:380(_parse)
    46990    0.009    0.000    0.009    0.000 {method 'append' of 'list' objects}
     5513    0.009    0.000    0.009    0.000 {method 'split' of 'unicode' objects}
69593/69386    0.008    0.000    0.008    0.000 {len}
      147    0.001    0.000    0.006    0.000 sre_compile.py:179(_compile_charset)
      147    0.004    0.000    0.005    0.000 sre_compile.py:208(_optimize_charset)
        1    0.005    0.005    0.005    0.005 {ujson.dumps}
        1    0.000    0.000    0.004    0.004 platform.py:10(<module>)
        6    0.002    0.000    0.003    0.000 collections.py:282(namedtuple)
        1    0.002    0.002    0.002    0.002 {ujson.loads}
        1    0.000    0.000    0.002    0.002 _utils.py:1037(readFileFrom)
     1644    0.001    0.000    0.002    0.000 sre_parse.py:131(__getitem__)
     1090    0.001    0.000    0.002    0.000 sre_parse.py:202(get)
       17    0.000    0.000    0.002    0.000 sre_compile.py:362(_compile_info)
  528/184    0.002    0.000    0.002    0.000 sre_parse.py:141(getwidth)
     1330    0.001    0.000    0.002    0.000 sre_parse.py:183(__next)
        1    0.002    0.002    0.002    0.002 {method 'readlines' of 'file' objects}
       25    0.001    0.000    0.001    0.000 sre_compile.py:259(_mk_bitmap)
        1    0.001    0.001    0.001    0.001 Enum.py:19(<module>)
     1006    0.000    0.000    0.001    0.000 sre_parse.py:196(match)
     1923    0.001    0.000    0.001    0.000 {isinstance}
        9    0.000    0.000    0.001    0.000 CooperativeClass.py:12(__init__)
       52    0.000    0.000    0.001    0.000 {setattr}
      167    0.000    0.000    0.001    0.000 sre_compile.py:355(_simple)
       52    0.000    0.000    0.000    0.000 CooperativeClass.py:15(__setattr__)
      781    0.000    0.000    0.000    0.000 sre_parse.py:127(__len__)
      520    0.000    0.000    0.000    0.000 sre_parse.py:139(append)
       40    0.000    0.000    0.000    0.000 CooperativeClass.py:7(second_arg)
       40    0.000    0.000    0.000    0.000 inspect.py:803(getargspec)
        1    0.000    0.000    0.000    0.000 TailRecursive.py:1(<module>)
        1    0.000    0.000    0.000    0.000 heapq.py:31(<module>)
      816    0.000    0.000    0.000    0.000 {min}
