Non-recursive (store_in_bucket) !!!

{"directory":{"downloads.vyperlogix.com":{"web":{"content":{"memcached":{"installers":{"windows":{"memcached-win32-1.4.4-14":{"memcached.exe":"\/downloads.vyperlogix.com\/web\/content\/memcached\/installers\/windows\/memcached-win32-1.4.4-14\/memcached.exe","pthreadGC2.dll":"\/downloads.vyperlogix.com\/web\/content\/memcached\/installers\/windows\/memcached-win32-1.4.4-14\/pthreadGC2.dll","INSTALL":"\/downloads.vyperlogix.com\/web\/content\/memcached\/installers\/windows\/memcached-win32-1.4.4-14\/INSTALL","README":"\/downloads.vyperlogix.com\/web\/content\/memcached\/installers\/windows\/memcached-win32-1.4.4-14\/README","libgcc_s_sjlj-1.dll":"\/downloads.vyperlogix.com\/web\/content\/memcached\/installers\/windows\/memcached-win32-1.4.4-14\/libgcc_s_sjlj-1.dll","mingwm10.dll":"\/downloads.vyperlogix.com\/web\/content\/memcached\/installers\/windows\/memcached-win32-1.4.4-14\/mingwm10.dll"},"memcached-win64-1.4.4-14":{"README":"\/downloads.vyperlogix.com\/web\/content\/memcached\/installers\/windows\/memcached-win64-1.4.4-14\/README","pthreadGC2.dll":"\/downloads.vyperlogix.com\/web\/content\/memcached\/installers\/windows\/memcached-win64-1.4.4-14\/pthreadGC2.dll","memcached.exe":"\/downloads.vyperlogix.com\/web\/content\/memcached\/installers\/windows\/memcached-win64-1.4.4-14\/memcached.exe","INSTALL":"\/downloads.vyperlogix.com\/web\/content\/memcached\/installers\/windows\/memcached-win64-1.4.4-14\/INSTALL","libgcc_s_sjlj-1.dll":"\/downloads.vyperlogix.com\/web\/content\/memcached\/installers\/windows\/memcached-win64-1.4.4-14\/libgcc_s_sjlj-1.dll"}}}}}}}}}
         20621 function calls (20571 primitive calls) in 2.425 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 <string>:1(DBNotFoundError)
        1    0.000    0.000    0.000    0.000 <string>:2(DBKeyEmptyError)
       40    0.000    0.000    0.000    0.000 <string>:8(__new__)
        6    0.000    0.000    0.002    0.000 CooperativeClass.py:12(__init__)
       66    0.000    0.000    0.002    0.000 CooperativeClass.py:15(__setattr__)
       40    0.000    0.000    0.001    0.000 CooperativeClass.py:7(second_arg)
        1    0.001    0.001    0.001    0.001 Counter.py:25(<module>)
        1    0.000    0.000    0.000    0.000 Counter.py:34(new)
        1    0.000    0.000    0.000    0.000 Counter.py:54(_encode)
        1    0.000    0.000    0.000    0.000 DSA.py:126(DSAImplementation)
        1    0.000    0.000    0.000    0.000 DSA.py:127(__init__)
        1    0.004    0.004    0.010    0.010 DSA.py:25(<module>)
        1    0.000    0.000    0.000    0.000 DSA.py:43(_DSAobj)
        1    0.013    0.013    0.122    0.122 Encryptors.py:1(<module>)
        1    0.000    0.000    0.000    0.000 Encryptors.py:34(Encryptors)
        4    0.000    0.000    0.000    0.000 Enum.py:107(__len__)
       20    0.000    0.000    0.000    0.000 Enum.py:192(__new__)
        4    0.000    0.000    0.000    0.000 Enum.py:43(__new__)
        4    0.000    0.000    0.000    0.000 Enum.py:79(__iter__)
        4    0.000    0.000    0.000    0.000 Enum.py:80(<genexpr>)
        1    0.000    0.000    0.001    0.001 FortunaAccumulator.py:100(__init__)
      128    0.001    0.000    0.005    0.000 FortunaAccumulator.py:137(add_random_event)
        1    0.009    0.009    0.048    0.048 FortunaAccumulator.py:25(<module>)
        1    0.000    0.000    0.000    0.000 FortunaAccumulator.py:41(FortunaPool)
       32    0.000    0.000    0.001    0.000 FortunaAccumulator.py:54(__init__)
      384    0.001    0.000    0.003    0.000 FortunaAccumulator.py:57(append)
       32    0.000    0.000    0.001    0.000 FortunaAccumulator.py:70(reset)
        1    0.000    0.000    0.000    0.000 FortunaAccumulator.py:95(FortunaAccumulator)
        1    0.008    0.008    0.016    0.016 FortunaGenerator.py:25(<module>)
        1    0.000    0.000    0.000    0.000 FortunaGenerator.py:40(AESGenerator)
        1    0.000    0.000    0.001    0.001 FortunaGenerator.py:65(__init__)
       35    0.000    0.000    0.000    0.000 HMAC.py:100(update)
       35    0.000    0.000    0.001    0.000 HMAC.py:116(digest)
        1    0.002    0.002    0.002    0.002 HMAC.py:40(<module>)
        1    0.000    0.000    0.000    0.000 HMAC.py:53(HMAC)
       35    0.001    0.000    0.003    0.000 HMAC.py:59(__init__)
        1    0.000    0.000    0.000    0.000 MD5.py:23(<module>)
        6    0.000    0.000    0.000    0.000 ObjectTypeName.py:22(<lambda>)
        6    0.000    0.000    0.000    0.000 ObjectTypeName.py:24(_typeName)
        1    0.000    0.000    0.000    0.000 ObjectTypeName.py:38(typeClassName)
        1    0.000    0.000    0.000    0.000 RSA.py:263(RSAImplementation)
        1    0.000    0.000    0.000    0.000 RSA.py:273(__init__)
        1    0.005    0.005    0.006    0.006 RSA.py:29(<module>)
        1    0.000    0.000    0.000    0.000 RSA.py:58(_RSAobj)
        1    0.001    0.001    0.001    0.001 SHA.py:23(<module>)
       70    0.001    0.000    0.001    0.000 SHA.py:38(new)
        1    0.010    0.010    0.016    0.016 SHA256.py:21(<module>)
       32    0.000    0.000    0.000    0.000 SHA256.py:37(new)
        1    0.004    0.004    0.021    0.021 SHAd256.py:29(<module>)
        1    0.000    0.000    0.000    0.000 SHAd256.py:45(_SHAd256)
       32    0.000    0.000    0.000    0.000 SHAd256.py:55(__init__)
      384    0.001    0.000    0.002    0.000 SHAd256.py:83(update)
       32    0.000    0.000    0.001    0.000 SHAd256.py:90(new)
       27    0.000    0.000    0.000    0.000 UserDict.py:25(__delitem__)
        2    0.000    0.000    0.000    0.000 UserDict.py:4(__init__)
        1    0.000    0.000    0.000    0.000 _DSA.py:113(DSAobj)
        1    0.004    0.004    0.006    0.006 _DSA.py:28(<module>)
        1    0.000    0.000    0.000    0.000 _DSA.py:36(error)
        1    0.001    0.001    0.001    0.001 _RSA.py:27(<module>)
